experiment_id,arm,record,seed,macro_f1_present,source_change,used_bytes,replay_items
E15,R1,100,42,0.887554,0.0,3568,0
E15,R1,100,43,0.887554,0.0005,3568,0
E15,R1,100,44,0.887554,0.0001,3568,0
E15,R1,100,45,0.887554,-0.0033,3568,0
E15,R1,100,46,0.907946,0.002,3568,0
E15,R1,103,42,0.499684,-0.434,3568,0
E15,R1,103,43,0.499684,-0.4369,3568,0
E15,R1,103,44,0.499684,-0.4244,3568,0
E15,R1,103,45,0.499684,-0.4338,3568,0
E15,R1,103,46,0.499684,-0.4398,3568,0
E15,R1,105,42,0.71909,-0.0248,3568,0
E15,R1,105,43,0.710352,-0.0243,3568,0
E15,R1,105,44,0.716721,-0.0229,3568,0
E15,R1,105,45,0.716848,-0.0233,3568,0
E15,R1,105,46,0.718964,-0.0156,3568,0
E15,R1,111,42,0.699537,-0.0711,3568,0
E15,R1,111,43,0.699537,-0.0949,3568,0
E15,R1,111,44,0.699537,-0.0873,3568,0
E15,R1,111,45,0.642084,-0.0952,3568,0
E15,R1,111,46,0.699537,-0.0634,3568,0
E15,R1,113,42,1.0,-0.0363,3568,0
E15,R1,113,43,1.0,-0.0323,3568,0
E15,R1,113,44,1.0,-0.0342,3568,0
E15,R1,113,45,1.0,-0.0299,3568,0
E15,R1,113,46,1.0,-0.0302,3568,0
E15,R1,117,42,0.499515,-0.1844,3568,0
E15,R1,117,43,0.499515,-0.1838,3568,0
E15,R1,117,44,0.499515,-0.18,3568,0
E15,R1,117,45,0.499515,-0.1848,3568,0
E15,R1,117,46,0.499515,-0.1848,3568,0
E15,R1,121,42,0.333088,-0.4163,3568,0
E15,R1,121,43,0.333088,-0.424,3568,0
E15,R1,121,44,0.333088,-0.4115,3568,0
E15,R1,121,45,0.333088,-0.426,3568,0
E15,R1,121,46,0.333088,-0.4325,3568,0
E15,R1,123,42,1.0,-0.0897,3568,0
E15,R1,123,43,1.0,-0.1259,3568,0
E15,R1,123,44,1.0,-0.1007,3568,0
E15,R1,123,45,1.0,-0.0904,3568,0
E15,R1,123,46,0.999753,-0.0116,3568,0
E15,R1,200,42,0.714025,0.0041,3568,0
E15,R1,200,43,0.714012,0.0098,3568,0
E15,R1,200,44,0.736284,0.0061,3568,0
E15,R1,200,45,0.721584,-0.0204,3568,0
E15,R1,200,46,0.702336,-0.0487,3568,0
E15,R1,210,42,0.648227,-0.0063,3568,0
E15,R1,210,43,0.673621,-0.0161,3568,0
E15,R1,210,44,0.625174,-0.0054,3568,0
E15,R1,210,45,0.750835,-0.0656,3568,0
E15,R1,210,46,0.765869,-0.0477,3568,0
E15,R1,212,42,0.999331,-0.2573,3568,0
E15,R1,212,43,0.999331,-0.2808,3568,0
E15,R1,212,44,0.999331,-0.2546,3568,0
E15,R1,212,45,0.999331,-0.2585,3568,0
E15,R1,212,46,0.999331,-0.2342,3568,0
E15,R1,213,42,0.58767,-0.2597,3568,0
E15,R1,213,43,0.551851,-0.1411,3568,0
E15,R1,213,44,0.536039,-0.0494,3568,0
E15,R1,213,45,0.546562,-0.0456,3568,0
E15,R1,213,46,0.588972,-0.1923,3568,0
E15,R1,214,42,0.994578,-0.033,3568,0
E15,R1,214,43,0.990523,-0.0263,3568,0
E15,R1,214,44,0.995863,-0.0933,3568,0
E15,R1,214,45,0.983097,-0.0436,3568,0
E15,R1,214,46,0.998574,-0.0915,3568,0
E15,R1,219,42,0.607058,0.0028,3568,0
E15,R1,219,43,0.64181,-0.0443,3568,0
E15,R1,219,44,0.644638,-0.0963,3568,0
E15,R1,219,45,0.632689,-0.0032,3568,0
E15,R1,219,46,0.647646,-0.0731,3568,0
E15,R1,221,42,1.0,-0.0688,3568,0
E15,R1,221,43,1.0,-0.0659,3568,0
E15,R1,221,44,1.0,-0.0582,3568,0
E15,R1,221,45,1.0,-0.0606,3568,0
E15,R1,221,46,1.0,-0.0742,3568,0
E15,R1,222,42,0.570704,-0.1975,3568,0
E15,R1,222,43,0.576894,-0.1979,3568,0
E15,R1,222,44,0.576386,-0.2077,3568,0
E15,R1,222,45,0.576242,-0.2098,3568,0
E15,R1,222,46,0.575554,-0.2048,3568,0
E15,R1,228,42,0.665483,-0.007,3568,0
E15,R1,228,43,0.662288,0.0009,3568,0
E15,R1,228,44,0.663081,-0.0291,3568,0
E15,R1,228,45,0.664687,-0.0025,3568,0
E15,R1,228,46,0.664682,-0.0203,3568,0
E15,R1,231,42,1.0,-0.1958,3568,0
E15,R1,231,43,1.0,0.0039,3568,0
E15,R1,231,44,1.0,0.0023,3568,0
E15,R1,231,45,0.999532,0.003,3568,0
E15,R1,231,46,1.0,-0.2068,3568,0
E15,R1,232,42,0.993806,-0.2657,3568,0
E15,R1,232,43,0.993806,-0.264,3568,0
E15,R1,232,44,0.993806,-0.2635,3568,0
E15,R1,232,45,0.994985,-0.2618,3568,0
E15,R1,232,46,0.994985,-0.2624,3568,0
E15,R1,233,42,0.927906,-0.0223,3568,0
E15,R1,233,43,0.77064,-0.0022,3568,0
E15,R1,233,44,0.792774,0.0037,3568,0
E15,R1,233,45,0.825709,-0.0015,3568,0
E15,R1,233,46,0.882709,-0.0103,3568,0
E15,R1,234,42,0.329435,-0.3823,3568,0
E15,R1,234,43,0.329435,-0.4548,3568,0
E15,R1,234,44,0.329435,-0.4485,3568,0
E15,R1,234,45,0.329435,-0.4555,3568,0
E15,R1,234,46,0.329435,-0.4254,3568,0
E15,R2,100,42,0.966842,-0.02,16208,62
E15,R2,100,43,0.926582,-0.0058,16208,62
E15,R2,100,44,0.987463,-0.0223,16208,62
E15,R2,100,45,0.94368,-0.0143,16208,62
E15,R2,100,46,0.959427,-0.0072,16208,62
E15,R2,103,42,0.499684,0.002,16208,62
E15,R2,103,43,0.499684,0.005,16208,62
E15,R2,103,44,0.499684,-0.006,16208,62
E15,R2,103,45,0.499684,-0.0019,16208,62
E15,R2,103,46,0.499684,0.0014,16208,62
E15,R2,105,42,0.65438,-0.0039,16208,62
E15,R2,105,43,0.705522,0.0125,16208,62
E15,R2,105,44,0.697702,0.0009,16208,62
E15,R2,105,45,0.700791,0.0068,16208,62
E15,R2,105,46,0.719471,0.002,16208,62
E15,R2,111,42,0.564652,-0.0082,16208,62
E15,R2,111,43,0.641775,-0.0076,16208,62
E15,R2,111,44,0.749227,-0.0182,16208,62
E15,R2,111,45,0.549838,0.0106,16208,62
E15,R2,111,46,0.665894,-0.012,16208,62
E15,R2,113,42,0.832945,-0.0353,16208,62
E15,R2,113,43,1.0,-0.0203,16208,62
E15,R2,113,44,1.0,-0.0035,16208,62
E15,R2,113,45,1.0,-0.0201,16208,62
E15,R2,113,46,1.0,-0.0017,16208,62
E15,R2,117,42,0.999271,0.0037,16208,62
E15,R2,117,43,0.996828,0.0115,16208,62
E15,R2,117,44,0.999028,-0.0206,16208,62
E15,R2,117,45,0.999271,0.0016,16208,62
E15,R2,117,46,0.499515,0.003,16208,62
E15,R2,121,42,0.666544,0.002,16208,62
E15,R2,121,43,0.666421,-0.0112,16208,62
E15,R2,121,44,0.666175,-0.0203,16208,62
E15,R2,121,45,0.666544,0.0035,16208,62
E15,R2,121,46,0.666544,0.0042,16208,62
E15,R2,123,42,0.999506,0.0056,16208,62
E15,R2,123,43,0.999506,-0.0027,16208,62
E15,R2,123,44,0.999506,-0.0081,16208,62
E15,R2,123,45,0.999506,0.0033,16208,62
E15,R2,123,46,0.999506,0.0058,16208,62
E15,R2,200,42,0.731682,0.0073,16208,62
E15,R2,200,43,0.716192,0.007,16208,62
E15,R2,200,44,0.721527,0.0114,16208,62
E15,R2,200,45,0.729172,0.0019,16208,62
E15,R2,200,46,0.732441,0.0047,16208,62
E15,R2,210,42,0.669841,-0.0153,16208,62
E15,R2,210,43,0.709889,-0.009,16208,62
E15,R2,210,44,0.772399,-0.0702,16208,62
E15,R2,210,45,0.784369,-0.064,16208,62
E15,R2,210,46,0.769073,-0.0339,16208,62
E15,R2,212,42,0.998662,-0.0023,16208,62
E15,R2,212,43,0.998885,-0.0074,16208,62
E15,R2,212,44,0.998885,0.0092,16208,62
E15,R2,212,45,0.998885,0.0093,16208,62
E15,R2,212,46,0.998662,0.0012,16208,62
E15,R2,213,42,0.559671,-0.1181,16208,62
E15,R2,213,43,0.569387,-0.0665,16208,62
E15,R2,213,44,0.560197,-0.0851,16208,62
E15,R2,213,45,0.575725,-0.0667,16208,62
E15,R2,213,46,0.584334,-0.0533,16208,62
E15,R2,214,42,0.990682,-0.1098,16208,62
E15,R2,214,43,0.995863,-0.0431,16208,62
E15,R2,214,44,0.941228,-0.0018,16208,62
E15,R2,214,45,0.988837,-0.05,16208,62
E15,R2,214,46,0.993606,-0.0351,16208,62
E15,R2,219,42,0.649237,-0.0977,16208,62
E15,R2,219,43,0.641068,-0.0385,16208,62
E15,R2,219,44,0.633426,-0.0146,16208,62
E15,R2,219,45,0.633279,-0.0603,16208,62
E15,R2,219,46,0.654681,-0.0175,16208,62
E15,R2,221,42,0.999692,0.009,16208,62
E15,R2,221,43,1.0,-0.0015,16208,62
E15,R2,221,44,0.999383,0.0146,16208,62
E15,R2,221,45,0.999537,0.0062,16208,62
E15,R2,221,46,0.999014,0.0037,16208,62
E15,R2,222,42,0.694889,-0.0018,16208,62
E15,R2,222,43,0.698021,-0.0135,16208,62
E15,R2,222,44,0.699636,-0.0369,16208,62
E15,R2,222,45,0.694195,-0.0013,16208,62
E15,R2,222,46,0.690473,-0.0008,16208,62
E15,R2,228,42,0.664558,-0.0181,16208,62
E15,R2,228,43,0.653702,0.0049,16208,62
E15,R2,228,44,0.661609,0.0068,16208,62
E15,R2,228,45,0.659022,-0.0384,16208,62
E15,R2,228,46,0.662275,-0.0161,16208,62
E15,R2,231,42,1.0,0.0025,16208,62
E15,R2,231,43,1.0,0.011,16208,62
E15,R2,231,44,1.0,-0.0086,16208,62
E15,R2,231,45,1.0,-0.173,16208,62
E15,R2,231,46,1.0,0.004,16208,62
E15,R2,232,42,0.991899,-0.2033,16208,62
E15,R2,232,43,0.990081,-0.1632,16208,62
E15,R2,232,44,0.990972,-0.1673,16208,62
E15,R2,232,45,0.990972,-0.2171,16208,62
E15,R2,232,46,0.991474,-0.174,16208,62
E15,R2,233,42,0.793672,-0.0118,16208,62
E15,R2,233,43,0.827876,-0.0137,16208,62
E15,R2,233,44,0.845294,0.0,16208,62
E15,R2,233,45,0.827638,-0.0087,16208,62
E15,R2,233,46,0.826306,-0.0085,16208,62
E15,R2,234,42,0.734789,0.0066,16208,62
E15,R2,234,43,0.701172,-0.0084,16208,62
E15,R2,234,44,0.734713,0.0011,16208,62
E15,R2,234,45,0.734939,-0.0047,16208,62
E15,R2,234,46,0.663139,-0.0027,16208,62
